TEAGE,Male,Female,Male_smooth,Female_smooth
15,132.2829184286312,128.44966438672986,139.91709615141232,139.43675890124484
16,128.8050992821174,124.22152206818123,139.36115144510092,136.91665393617504
17,135.58264585958125,123.24042511299537,138.88820512464892,134.53996590022183
18,135.1207470011285,144.0725365412722,138.4952207023686,132.30526364293738
19,153.3860427463461,142.9313582461932,138.1791616905721,130.21111601387366
20,136.85870491214283,127.79443720392955,137.93699160157163,128.2560918625828
21,138.45553372762208,134.68505803738665,137.76567394767946,126.43876003861688
22,150.21210494295514,143.36759376413087,137.66217224120774,124.75768939152799
23,133.58212389769085,117.28190052109248,137.62344999446864,123.21144877086817
24,151.19786473375171,118.96498630357065,137.64311317355492,121.79871564843583
25,135.02306674975225,125.98198718940121,137.72239932094817,120.52119340486507
26,133.55908522117792,124.48774574929183,137.86971931354378,119.38198975296166
27,143.45052073926502,119.17551467786173,138.0934840282373,118.3842124055313
28,145.47830873424323,123.43982589703077,138.40210434192414,117.53096907537973
29,145.27312277591938,117.81539958183022,138.80399113149983,116.82536747531269
30,129.4593922851467,114.03496350609608,139.30755527385978,116.27051531813588
31,139.95914157122644,115.73043795858253,139.92120764589947,115.86952031665507
32,146.01129222706635,111.11943391726197,140.57217975053993,115.58725155857621
33,140.38629405174848,110.37323950049871,141.20525559687684,115.3985939424648
34,154.99531428479096,117.22237753098936,141.85517482106772,115.32167889741571
35,144.49276444693882,110.63267440073535,142.55667705927002,115.37463785252383
36,139.5194945181195,109.58185115724106,143.34450194764128,115.57560223688412
37,146.53093004518936,113.68427988830287,144.2533891223389,115.94270347959142
38,139.30034116584397,119.31167887723102,145.31807821952043,116.49407300974067
39,148.39506485251601,110.70043472490863,146.57330887534334,117.24784225642678
40,140.73634362829102,117.32966545714353,148.05382072596518,118.22214264874461
41,139.6057824695849,114.31602730433649,149.66151366181037,119.44187093789301
42,150.84027682762797,119.27115267915809,151.30602796435838,120.9026396790509
43,148.76304502454593,125.62173620930672,153.03371385634912,122.5786540072834
44,154.1128635567685,132.141709259491,154.89092156052251,124.4441190576556
45,159.17252331581042,138.76606492466055,156.92400129961848,126.47323996523261
46,164.42474161180587,127.86389474417263,159.17930329637687,128.64022186507947
47,173.81429113139575,127.98217526517044,161.7031777735377,130.91926989226138
48,163.5882452191877,137.5710070640168,164.54197495384082,133.28458918184333
49,166.48607034733672,132.84706738122165,167.8160618243851,135.8369680972738
50,167.03039058280538,132.72436738995273,171.55263223643954,138.6641332736231
51,181.9194276796826,149.5725555855982,175.65827670899932,141.7206972533891
52,187.90869241468135,151.2919191396097,180.0395857610595,144.9612725790697
53,166.70852882548206,144.1452117752412,184.60314991161528,148.34047179316292
54,195.22928146080537,142.3591378320143,189.25555967966176,151.81290743816655
55,182.32553755121984,151.38686765991125,193.90340558419408,155.33319205657858
56,198.67294417540194,164.47104983486074,198.45327814420742,158.85593819089695
57,200.03818758824187,162.67744111292333,202.81176787869683,162.33575838361952
58,188.9227668727404,165.5225565691122,207.19189616583375,165.92046148397145
59,214.41049731234284,162.2008203199568,211.81051588741187,169.7385704790778
60,198.77276248981735,161.32186478172008,216.5799648178597,173.71576911828632
61,218.79825119092575,168.60617190109926,221.41258073160574,177.77774115094482
62,227.55160416404092,176.13697829454438,226.22070140307855,181.850170326401
63,243.39039443821983,186.66799191304924,230.91666460670675,185.85874039400275
64,241.83542586037947,197.7698558588203,235.41280811691877,189.72913510309775
65,256.4582240718319,199.98388136449051,239.6214697081432,193.3870382030338
66,261.5500776561861,212.39837128581382,243.666034055912,196.93387862750947
67,253.62158045086812,212.9318304315534,247.71602805031756,200.50946764030212
68,267.85244952870863,206.11994368861272,251.75300278762893,204.09706248587773
69,260.88767751242676,218.47859472661017,255.7585093641152,207.67992040870232
70,271.4527035895371,214.78110068805972,259.71409887604557,211.24129865324187
71,282.3220341030264,219.26018959819532,263.60132241968887,214.7644544639623
72,272.5638117453342,234.4828298729344,267.40173109131445,218.2326450853297
73,268.28110831634774,220.4917048574597,271.0968759871913,221.62912776180997
74,259.3131105820866,219.40115932369577,274.68716767252926,224.95403313137479
75,276.2649877898706,243.54167431214373,278.18743005665203,228.22078350165273
76,273.48310874498566,220.2059179736004,281.6008342519993,231.43257362159497
77,288.84751741276585,234.46401730103915,284.93055137101084,234.59259824015277
78,299.55348816968984,249.59599016531976,288.17975252612644,237.7040521062774
79,274.99676241291223,223.74452056410757,291.35160882978573,240.77012996892006
80,284.35823770036797,247.40457328501645,294.44929139442854,243.794026577032
85,311.4235808179625,248.3205828026744,308.93608706778673,258.392607012925
