date,ICSA,value,bike_count,text
2020-01-01,NA,2.457081,18.114,Jan 01
2020-01-02,NA,5.096737,41.556,Jan 02
2020-01-03,NA,5.083183,31.873,Jan 03
2020-01-04,0.212,2.91075,29.436,Jan 04
2020-01-05,NA,2.379672,27.589,Jan 05
2020-01-06,NA,5.338466,42.738,Jan 06
2020-01-07,NA,5.539609,46.535,Jan 07
2020-01-08,NA,5.708079,42.4,Jan 08
2020-01-09,NA,5.603996,39.344,Jan 09
2020-01-10,NA,5.546495,50.8,Jan 10
2020-01-11,0.207,3.201232,56.538,Jan 11
2020-01-12,NA,2.412979,53.121,Jan 12
2020-01-13,NA,5.345127,49.438,Jan 13
2020-01-14,NA,5.565564,44.144,Jan 14
2020-01-15,NA,5.681956,54.251,Jan 15
2020-01-16,NA,5.757064,45.247,Jan 16
2020-01-17,NA,5.686888,34.122,Jan 17
2020-01-18,0.22,2.675485,13.301,Jan 18
2020-01-19,NA,2.329916,25.935,Jan 19
2020-01-20,NA,3.23032,24.23,Jan 20
2020-01-21,NA,5.394519,37.399,Jan 21
2020-01-22,NA,5.572278,43.415,Jan 22
2020-01-23,NA,5.615577,48.258,Jan 23
2020-01-24,NA,5.489617,51.334,Jan 24
2020-01-25,0.212,2.710531,17.734,Jan 25
2020-01-26,NA,2.415365,36.121,Jan 26
2020-01-27,NA,5.347211,46.534,Jan 27
2020-01-28,NA,5.742007,48.816,Jan 28
2020-01-29,NA,5.758363,47.386,Jan 29
2020-01-30,NA,5.75738,45.603,Jan 30
2020-01-31,NA,5.519286,47.284,Jan 31
2020-02-01,0.201,2.956281,35.542,Feb 01
2020-02-02,NA,2.298312,28.593,Feb 02
2020-02-03,NA,5.475367,53.522,Feb 03
2020-02-04,NA,5.700032,52.478,Feb 04
2020-02-05,NA,5.784174,50.544,Feb 05
2020-02-06,NA,5.840567,32.156,Feb 06
2020-02-07,NA,5.586678,32.643,Feb 07
2020-02-08,0.204,3.024811,32.783,Feb 08
2020-02-09,NA,2.339983,32.635,Feb 09
2020-02-10,NA,5.426266,26.732,Feb 10
2020-02-11,NA,5.66565,37.789,Feb 11
2020-02-12,NA,5.696738,49.336,Feb 12
2020-02-13,NA,5.750557,37.413,Feb 13
2020-02-14,NA,5.58058,36.921,Feb 14
2020-02-15,0.215,2.877542,21.598,Feb 15
2020-02-16,NA,2.398466,27.276,Feb 16
2020-02-17,NA,3.216494,40.946,Feb 17
2020-02-18,NA,5.244577,44.104,Feb 18
2020-02-19,NA,5.456947,49.313,Feb 19
2020-02-20,NA,5.415683,42.686,Feb 20
2020-02-21,NA,5.240495,38.686,Feb 21
2020-02-22,0.22,2.998622,39.443,Feb 22
2020-02-23,NA,2.355236,46.544,Feb 23
2020-02-24,NA,5.442605,56.349,Feb 24
2020-02-25,NA,5.658937,39.568,Feb 25
2020-02-26,NA,5.695524,45.207,Feb 26
2020-02-27,NA,5.795643,43.411,Feb 27
2020-02-28,NA,5.563943,43.36,Feb 28
2020-02-29,0.217,2.934964,29.252,Feb 29
2020-03-01,NA,2.276715,NA,Mar 01
2020-03-02,NA,5.370253,NA,Mar 02
2020-03-03,NA,5.591687,NA,Mar 03
2020-03-04,NA,5.594971,NA,Mar 04
2020-03-05,NA,5.623588,NA,Mar 05
2020-03-06,NA,5.322449,NA,Mar 06
2020-03-07,0.211,2.848898,NA,Mar 07
2020-03-08,NA,2.081322,NA,Mar 08
2020-03-09,NA,4.949165,NA,Mar 09
2020-03-10,NA,5.035107,NA,Mar 10
2020-03-11,NA,4.880885,NA,Mar 11
2020-03-12,NA,4.36187,NA,Mar 12
2020-03-13,NA,3.646267,NA,Mar 13
2020-03-14,0.282,1.770936,NA,Mar 14
2020-03-15,NA,1.222512,NA,Mar 15
2020-03-16,NA,2.271756,NA,Mar 16
2020-03-17,NA,1.853884,NA,Mar 17
2020-03-18,NA,1.676398,NA,Mar 18
2020-03-19,NA,1.506113,NA,Mar 19
2020-03-20,NA,1.343699,NA,Mar 20
2020-03-21,3.307,0.663073,NA,Mar 21
2020-03-22,NA,0.436748,NA,Mar 22
2020-03-23,NA,0.806559,NA,Mar 23
2020-03-24,NA,0.8386,NA,Mar 24
2020-03-25,NA,0.71794500000000006,NA,Mar 25
2020-03-26,NA,0.987809,NA,Mar 26
2020-03-27,NA,0.728598,NA,Mar 27
