DATE,ICSA,text
2020-01-01,NA,Jan 01
2020-01-02,NA,Jan 02
2020-01-03,NA,Jan 03
2020-01-04,2.12,Jan 04
2020-01-05,NA,Jan 05
2020-01-06,NA,Jan 06
2020-01-07,NA,Jan 07
2020-01-08,NA,Jan 08
2020-01-09,NA,Jan 09
2020-01-10,NA,Jan 10
2020-01-11,2.07,Jan 11
2020-01-12,NA,Jan 12
2020-01-13,NA,Jan 13
2020-01-14,NA,Jan 14
2020-01-15,NA,Jan 15
2020-01-16,NA,Jan 16
2020-01-17,NA,Jan 17
2020-01-18,2.2,Jan 18
2020-01-19,NA,Jan 19
2020-01-20,NA,Jan 20
2020-01-21,NA,Jan 21
2020-01-22,NA,Jan 22
2020-01-23,NA,Jan 23
2020-01-24,NA,Jan 24
2020-01-25,2.12,Jan 25
2020-01-26,NA,Jan 26
2020-01-27,NA,Jan 27
2020-01-28,NA,Jan 28
2020-01-29,NA,Jan 29
2020-01-30,NA,Jan 30
2020-01-31,NA,Jan 31
2020-02-01,2.01,Feb 01
2020-02-02,NA,Feb 02
2020-02-03,NA,Feb 03
2020-02-04,NA,Feb 04
2020-02-05,NA,Feb 05
2020-02-06,NA,Feb 06
2020-02-07,NA,Feb 07
2020-02-08,2.04,Feb 08
2020-02-09,NA,Feb 09
2020-02-10,NA,Feb 10
2020-02-11,NA,Feb 11
2020-02-12,NA,Feb 12
2020-02-13,NA,Feb 13
2020-02-14,NA,Feb 14
2020-02-15,2.15,Feb 15
2020-02-16,NA,Feb 16
2020-02-17,NA,Feb 17
2020-02-18,NA,Feb 18
2020-02-19,NA,Feb 19
2020-02-20,NA,Feb 20
2020-02-21,NA,Feb 21
2020-02-22,2.2,Feb 22
2020-02-23,NA,Feb 23
2020-02-24,NA,Feb 24
2020-02-25,NA,Feb 25
2020-02-26,NA,Feb 26
2020-02-27,NA,Feb 27
2020-02-28,NA,Feb 28
2020-02-29,2.17,Feb 29
2020-03-01,NA,Mar 01
2020-03-02,NA,Mar 02
2020-03-03,NA,Mar 03
2020-03-04,NA,Mar 04
2020-03-05,NA,Mar 05
2020-03-06,NA,Mar 06
2020-03-07,2.11,Mar 07
2020-03-08,NA,Mar 08
2020-03-09,NA,Mar 09
2020-03-10,NA,Mar 10
2020-03-11,NA,Mar 11
2020-03-12,NA,Mar 12
2020-03-13,NA,Mar 13
2020-03-14,2.82,Mar 14
2020-03-15,NA,Mar 15
2020-03-16,NA,Mar 16
2020-03-17,NA,Mar 17
2020-03-18,NA,Mar 18
2020-03-19,NA,Mar 19
2020-03-20,NA,Mar 20
2020-03-21,33.07,Mar 21
2020-03-22,NA,Mar 22
2020-03-23,NA,Mar 23
2020-03-24,NA,Mar 24
2020-03-25,NA,Mar 25
2020-03-26,NA,Mar 26
2020-03-27,NA,Mar 27
